10,3,3,1,0,1,0,0
10,3,3,1,0,1,0,0
10,3,3,1,0,1,0,0
10,3,3,1,0,1,0,0
13,3,3,1,2,1,2,1
15,3,3,1,2,1,1,1
15,3,3,1,2,1,1,1
16,3,3,1,3,1,1,1
20,3,3,1,2,1,2,1
20,3,3,1,2,1,2,1
21,3,3,1,3,1,1,1
21,3,3,1,3,1,1,1
14,3,3,1,2,1,1,1
15,3,3,1,2,1,1,1
14,3,3,1,2,1,1,1
21,3,3,1,3,1,1,1
22,3,3,1,2,1,1,1
23,3,3,1,2,1,1,1
15,3,3,1,2,1,1,1
20,3,3,1,2,1,2,1
22,3,3,1,2,1,1,1
14,3,3,1,2,1,1,1
13,3,3,1,2,1,2,1
21,3,3,1,3,1,1,1
22,3,3,1,2,1,1,1
23,3,3,1,2,1,1,1
32,3,3,1,2,1,1,1
55,3,3,1,1,1,1,1
24,3,3,1,2,1,1,1
23,3,3,1,2,1,1,1
49,3,3,1,1,1,1,1
57,3,3,1,1,1,1,1
22,3,3,1,2,1,1,1
23,3,3,1,2,1,1,1
47,3,3,1,1,1,1,1
55,3,3,1,1,1,1,1
21,3,3,1,3,1,1,1
24,3,3,1,2,1,1,1
31,3,3,1,2,1,1,1
55,3,3,1,1,1,1,1
40,3,3,1,1,1,1,1
25,3,3,1,2,1,1,1
24,3,3,1,2,1,1,1
55,3,3,1,1,1,1,1
40,3,3,1,1,1,1,1
25,3,3,1,2,1,1,1
67,3,3,1,1,1,1,1
54,3,3,1,1,1,1,1
59,3,3,1,1,1,1,1
25,3,3,1,2,1,1,1
21,3,3,1,3,1,1,1
69,3,3,1,1,1,1,1
39,3,3,1,1,1,2,1
23,3,3,1,2,1,1,1
21,3,3,1,3,1,1,1
70,3,3,1,1,1,1,1
55,3,3,1,1,1,1,1
21,3,3,1,3,1,1,1
70,3,3,1,1,1,1,1
52,3,3,1,1,1,1,1
102,3,3,1,1,1,1,1
59,3,3,1,1,1,1,1
22,3,3,1,2,1,1,1
24,3,3,1,2,1,1,1
